embalse,latitud,longitud
AMANI,5.5128,-74.9107
MIRAFLORES,6.7638,-75.3274
PENOL,6.2635,-75.1873
PLAYAS,6.3154,-74.9672
PORCE II,6.7843,-75.1229
PORCE III,6.9381,-75.14
PUNCHINA,6.2276,-74.8636
RIOGRANDE2,6.5057,-75.4506
SAN LORENZO,6.3935,-75.0227
TRONERAS,6.7633,-75.2567
URRA1,7.9444,-76.2614
AGREGADO BOGOTA,4.9539,-73.84
BETANIA,2.6544,-75.4655
MUNA,4.5174,-74.256
PRADO,3.7877,-74.8487
TOPOCORO,7.1008,-73.4067
CHUZA,4.5946,-73.7095
ESMERALDA,4.9527,-73.3285
GUAVIO,4.7059,-73.5109
ALTOANCHICAYA,3.5261,-76.8646
CALIMA1,3.8916,-76.4992
SALVAJINA,2.8557,-76.7025
EL QUIMBO,2.4474,-75.561
ITUANGO,7.1361,-75.6602
