,idDataset,nombreConjuntoDatos,fechaPublicacion,fechaActualizacion,inicioDato,finDato,fechaDescarga,urlConexionAPI,urlConjuntoDatos,tipoPublicacion
0,a704ee,"Datos soporte del proceso de liquidación por Código sic agente, Recurso, Tipo combustible, versión y mensual",2023-09-28T21:28:06.433,2026-06-11T21:17:43.963,2017-12-01T00:00:00,2026-04-01T00:00:00,2025-04-30T11:38:47.52,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=a704ee,https://www.simem.co/datadetail/a704eef3-ca1c-4ebf-98a0-01325c61765d,Público
1,d808d4,Energía de Referencia para el Mercado Secundario,2023-09-29T11:01:54.317,2026-05-16T20:12:10.697,2018-12-01T00:00:00,2050-11-30T00:00:00,2025-04-09T09:42:23.763,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=d808d4,https://www.simem.co/datadetail/d808d43d-e3da-493d-aab5-015a818ade10,Público
2,2106b8,Precios y estadísticas de los contratos de convocatorias del SICEP entre agentes integrados verticalmente para el mercado regulado por comercializador,2023-09-30T10:35:01.19,2026-06-24T07:31:46.337,2020-10-01T00:00:00,2026-05-01T00:00:00,2025-03-08T11:37:23.957,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=2106b8,https://www.simem.co/datadetail/99686983-57a4-433b-bc5e-028ecd0845ba,Público
3,B1009C,Compras en bolsa nacional en moneda,2024-11-07T10:33:56.017,2026-07-01T04:35:02.85,2021-01-01T00:00:00,2026-06-26T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=B1009C,https://www.simem.co/datadetail/b1009c18-5450-4ae7-ad5f-02a07b73d371,Público
4,E4CE10,Costo Servicios ASIC y CND,2025-07-11T11:30:08.153,2026-06-24T06:32:58.223,2021-01-01T00:00:00,2026-05-01T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=E4CE10,https://www.simem.co/datadetail/e4ce10c3-dffc-402b-9d54-03a68ec322a5,Público
5,7AEE6F,Nivel embalse reportado menos compromisos EVE embalsados por planta,2023-09-28T20:27:03.407,2026-07-01T04:33:42.293,2021-01-01T00:00:00,2026-06-28T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=7AEE6F,https://www.simem.co/datadetail/7aee6f59-52c2-4279-bf7e-042e6a730d51,Público
6,F3A83B,Estadísticas de contratos de Demanda Desconectable Voluntaria (DDV),2023-09-30T11:09:06.763,2026-07-01T08:33:54.493,2022-12-01T00:00:00,2026-11-01T00:00:00,2025-05-06T11:28:35.46,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=F3A83B,https://www.simem.co/datadetail/f3a83baa-a370-4557-be0d-05396fb30421,Público
7,bf41fe,Histórico Posición abierta por contrato II Open interest II,2025-03-10T23:00:12.1,2026-06-22T19:56:54.32,2023-08-31T00:00:00,2026-05-31T00:00:00,2025-03-13T08:58:15.363,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=bf41fe,https://www.simem.co/datadetail/bf41fe3a-faa8-4f73-9773-07c7f97c8447,Público
8,ae3f23,Precios de escasez del Cargo por Confiabilidad,2023-09-25T23:36:51.263,2026-06-17T14:45:44.463,2013-01-01T00:00:00,2026-06-01T00:00:00,2025-05-05T10:27:49.407,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=ae3f23,https://www.simem.co/datadetail/ae3f2310-154d-4391-b17c-081a83bc6e0f,Público
9,5106B9,Declaración de respaldo horaria para cada planta y/o unidad,2023-09-28T20:27:03.407,2026-07-01T04:31:21.653,2021-01-01T00:00:00,2026-05-19T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=5106B9,https://www.simem.co/datadetail/5106b900-7994-4db1-8742-087d22d770e7,Público
10,f62164,Proyección de reserva caliente de corto plazo,2024-09-06T08:22:41.853,2026-06-28T19:13:43.543,2024-08-26T00:00:00,2026-07-05T00:00:00,2024-09-11T06:25:30.237,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=f62164,https://www.simem.co/datadetail/f6216477-fa97-476e-10c9-08dcce76fc9a,Público
11,8d3ccd,Proyección de embalse agregado de corto plazo,2024-09-06T08:42:12.99,2026-06-28T19:16:50.097,2024-08-26T00:00:00,2026-07-05T00:00:00,2025-02-21T15:30:24.49,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=8d3ccd,https://www.simem.co/datadetail/8d3ccdc6-f660-4423-10ca-08dcce76fc9a,Público
12,06b8bc,Proyección de balance energético de corto plazo,2024-09-06T09:01:28.03,2026-06-28T19:16:20.81,2024-08-26T00:00:00,2026-07-05T00:00:00,2025-05-04T21:39:09.523,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=06b8bc,https://www.simem.co/datadetail/06b8bcf9-2bcb-4676-10cb-08dcce76fc9a,Público
13,d31647,Precios en contratos de energía del Mercado Mayorista por comprador,2024-10-08T14:18:52.303,2026-06-30T04:34:27.637,2022-01-01T00:00:00,2026-06-25T00:00:00,2025-04-29T08:16:50.703,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=d31647,https://www.simem.co/datadetail/d316478b-b8c0-4050-49ec-08dce7ce0b90,Público
14,0fa2ac,"Datos soporte del proceso de Demandas por Recurso, versión y horaria",2024-11-06T16:25:40.203,2026-06-11T21:22:50.337,2013-01-01T00:00:00,2026-02-27T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=0fa2ac,https://www.simem.co/datadetail/0fa2acb6-c1fb-4d35-9172-08dcfea99034,Público
15,aa9f18,"Datos soporte del proceso de Demandas por Código sic agente, Recurso, Unidad, versión y horaria",2024-11-07T07:20:59.477,2026-07-01T04:34:34.84,2024-08-01T00:00:00,2026-06-16T00:00:00,2025-02-10T11:23:23.873,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=aa9f18,https://www.simem.co/datadetail/aa9f18b2-e6d2-41a8-5e98-08dcff26a363,Público
